CurrentEquipmentDays,MonthsInService,MonthlyMinutes,PercChangeMinutes,TotalRecurringCharge,OffPeakCallsInOut,PercChangeRevenues,MonthlyRevenue,PeakCallsInOut,OverageMinutes,ReceivedCalls,UnansweredCalls,Churn
1023.0,55,36.0,0.0,45.0,2.3,0.5,36.84,5.0,0.0,1.2,2.0,1
1597.0,53,71.0,146.0,38.0,2.7,0.0,37.99,8.3,0.0,2.4,2.7,0
122.0,50,333.0,-31.0,75.0,23.3,-5.4,91.17,201.3,0.0,33.2,33.7,0
530.0,50,65.0,76.0,30.0,1.0,-0.3,29.73,27.3,2.0,7.8,2.7,0
307.0,56,2382.0,-230.0,150.0,232.3,0.0,149.99,533.7,0.0,391.2,161.0,1
86.0,50,745.0,367.0,85.0,88.3,-8.9,84.91,212.3,0.0,181.1,51.7,0
1695.0,56,20.0,15.0,17.0,1.0,1.3,17.43,5.3,1.0,3.7,5.3,0
492.0,54,1671.0,-641.0,75.0,130.7,-29.7,107.25,329.0,126.0,633.4,33.7,0
100.0,50,1438.0,-186.0,83.0,124.3,93.9,163.54,514.0,0.0,426.9,88.0,0
659.0,52,1230.0,217.0,60.0,155.3,-8.6,66.28,215.7,53.0,258.3,40.3,0
839.0,54,18.0,10.0,19.0,3.3,12.1,21.12,11.3,9.0,8.5,0.0,0
374.0,56,560.0,79.0,71.0,52.3,64.6,136.42,138.3,163.0,246.1,21.3,1
163.0,52,1008.0,-52.0,60.0,197.0,5.4,76.74,225.3,65.0,244.1,82.0,0
47.0,54,3479.0,-394.0,85.0,175.3,-36.3,196.76,1177.3,872.0,1005.4,149.7,0
49.0,56,831.0,119.0,75.0,32.3,1.5,79.44,155.0,0.0,282.6,10.0,0
4.0,52,1010.0,14.0,60.0,81.0,-3.1,56.31,76.7,10.0,151.1,31.3,0
350.0,50,828.0,299.0,75.0,21.7,-1.1,79.59,250.0,0.0,176.5,32.7,0
331.0,50,148.0,-86.0,45.0,20.7,-0.3,35.3,46.0,0.0,38.5,11.3,0
158.0,52,493.0,-196.0,85.0,25.7,-0.7,75.73,61.0,0.0,1.8,12.0,0
451.0,56,820.0,26.0,60.0,46.7,0.0,49.99,100.3,2.0,139.0,33.3,0
1583.0,52,34.0,19.0,15.0,3.7,4.0,23.5,18.3,30.0,0.0,0.7,0
527.0,54,148.0,20.0,30.0,7.0,0.0,29.99,65.7,0.0,7.2,11.0,0
652.0,56,1376.0,355.0,85.0,124.7,52.9,103.28,211.3,38.0,188.1,52.7,0
161.0,54,538.0,58.0,75.0,21.0,-0.6,71.86,113.3,0.0,99.7,13.3,0
306.0,50,1650.0,-177.0,83.0,56.7,17.9,114.13,412.0,52.0,362.5,23.0,0
163.0,54,1020.0,110.0,58.0,110.0,-50.8,53.79,239.3,162.0,240.4,25.0,1
11.0,52,70.0,-14.0,50.0,11.3,16.4,45.85,26.0,0.0,1.1,7.3,0
1116.0,56,161.0,78.0,89.0,22.7,34.0,95.17,38.0,0.0,31.6,1.3,0
1599.0,54,1151.0,225.0,95.0,52.3,-5.6,90.61,70.0,22.0,476.0,20.7,1
240.0,54,2338.0,-366.0,78.0,98.0,-95.4,226.0,286.3,370.0,609.7,48.0,0
452.0,54,784.0,-30.0,80.0,38.7,18.4,105.84,197.3,0.0,479.1,18.0,0
387.0,52,1807.0,-373.0,85.0,72.7,-16.4,113.52,517.7,102.0,658.3,69.7,0
701.0,56,368.0,-174.0,45.0,26.3,-13.7,51.46,69.0,39.0,81.9,26.7,1
135.0,52,291.0,-18.0,45.0,63.3,0.4,35.58,46.3,0.0,76.3,42.0,0
773.0,54,1172.0,184.0,83.0,32.3,-27.8,114.54,442.0,0.0,353.5,39.0,0
336.0,50,1580.0,-338.0,77.0,48.3,-57.5,138.48,219.7,227.0,650.5,20.0,1
318.0,54,2256.0,-2239.0,83.0,239.7,-76.5,159.52,449.7,666.0,753.2,82.7,1
430.0,56,711.0,-53.0,50.0,164.7,-0.5,50.48,121.0,0.0,282.6,38.3,0
581.0,54,343.0,-60.0,75.0,36.0,0.0,75.0,111.3,0.0,135.0,24.0,0
77.0,50,3808.0,5.0,183.0,289.3,-76.4,281.33,1101.3,759.0,1208.4,93.7,0
116.0,52,1670.0,240.0,83.0,126.3,-8.4,97.83,354.7,0.0,477.4,95.7,0
45.0,54,516.0,-45.0,50.0,44.3,-5.5,55.51,94.0,30.0,79.8,28.0,0
10.0,49,797.0,-9.0,60.0,70.7,-9.4,70.19,238.0,43.0,300.9,35.3,0
574.0,49,181.0,-146.0,30.0,37.3,-0.9,30.86,84.0,0.0,22.6,19.3,1
710.0,49,1166.0,-119.0,75.0,66.7,-1.9,104.75,301.3,0.0,338.1,22.7,0
124.0,53,3210.0,-422.0,213.0,210.3,-21.2,260.81,906.3,0.0,824.9,142.0,0
754.0,51,66.0,-66.0,30.0,0.0,-6.4,36.39,1.7,0.0,0.0,0.0,1
1565.0,51,154.0,-47.0,50.0,16.0,0.0,50.0,51.0,0.0,24.0,15.0,0
151.0,53,2206.0,-102.0,85.0,221.3,-21.2,106.33,455.3,107.0,901.7,53.3,1
270.0,51,44.0,-35.0,45.0,3.3,0.0,34.99,13.0,0.0,6.8,5.7,0
241.0,55,1730.0,474.0,87.0,119.3,27.4,120.38,310.3,183.0,438.6,64.3,0
383.0,49,0.0,0.0,27.0,0.0,-0.2,27.25,0.0,0.0,0.0,0.0,1
638.0,51,790.0,-60.0,75.0,19.0,0.9,83.83,396.7,0.0,197.0,30.7,1
776.0,51,219.0,-58.0,30.0,25.3,-59.0,30.32,40.3,0.0,12.6,23.0,0
1669.0,55,18.0,-12.0,30.0,3.3,0.0,30.0,17.3,0.0,3.8,5.7,1
226.0,55,1228.0,-12.0,108.0,131.0,-0.7,108.72,190.7,0.0,480.2,26.0,0
517.0,49,112.0,-2.0,32.0,7.0,-0.3,32.27,40.0,0.0,17.1,13.3,0
180.0,51,245.0,53.0,30.0,44.3,7.0,43.72,55.3,30.0,72.2,19.3,0
275.0,51,572.0,-119.0,59.0,71.3,-15.6,65.94,118.3,45.0,293.5,29.0,0
181.0,53,295.0,41.0,30.0,46.7,6.4,32.5,66.3,7.0,20.8,18.3,0
422.0,53,848.0,-80.0,70.0,0.0,4.6,79.39,0.0,64.0,0.0,0.0,0
132.0,55,1710.0,-922.0,75.0,70.0,-15.9,90.9,800.3,156.0,591.8,72.0,1
418.0,49,866.0,-100.0,38.0,13.3,-48.2,103.16,268.0,216.0,35.8,36.3,0
395.0,51,1410.0,-520.0,75.0,25.0,-69.7,164.14,456.3,0.0,201.7,66.7,1
279.0,51,490.0,506.0,70.0,31.3,133.8,117.12,142.3,140.0,103.5,46.7,1
411.0,49,34.0,5.0,5.0,7.3,-2.3,8.07,17.7,32.0,7.4,2.0,1
561.0,53,71.0,-21.0,40.0,2.7,-1.3,41.29,16.7,0.0,17.8,5.3,0
-3.0,55,3559.0,-149.0,150.0,468.7,-11.4,180.22,725.3,99.0,1543.7,120.7,1
1493.0,49,340.0,-154.0,35.0,33.7,-4.1,41.09,78.0,6.0,80.8,19.7,1
831.0,55,287.0,-57.0,30.0,19.7,-14.0,46.94,98.7,62.0,48.4,23.0,0
1333.0,55,0.0,0.0,10.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,1
489.0,51,3584.0,-1037.0,59.0,126.7,124.9,44.96,650.3,1094.0,732.6,216.0,1
503.0,51,50.0,-12.0,30.0,6.3,-0.2,28.73,14.7,0.0,8.8,1.7,1
318.0,53,485.0,135.0,50.0,29.7,1.2,50.31,170.3,8.0,144.8,20.3,0
315.0,49,194.0,102.0,20.0,10.3,19.9,50.53,52.7,144.0,25.7,4.0,0
1595.0,53,18.0,-18.0,5.0,1.7,-18.5,23.5,7.3,18.0,0.0,1.7,1
672.0,53,501.0,-113.0,45.0,50.7,6.0,77.04,55.3,97.0,77.9,50.3,1
77.0,49,3206.0,265.0,83.0,433.7,3.4,166.82,603.0,537.0,1513.6,94.3,0
299.0,55,1161.0,-43.0,105.0,58.7,-6.6,111.61,444.0,32.0,402.6,67.0,0
1592.0,53,143.0,-36.0,107.0,3.3,-3.2,111.7,82.0,0.0,8.3,12.3,1
329.0,53,149.0,74.0,74.0,9.3,17.4,81.6,44.3,50.0,33.1,3.3,0
475.0,49,890.0,-217.0,75.0,105.0,18.3,85.58,310.3,0.0,136.3,87.3,1
1590.0,53,438.0,73.0,50.0,53.7,2.1,51.14,55.7,3.0,39.3,24.0,1
669.0,49,355.0,-171.0,55.0,41.0,-1.5,56.48,125.3,0.0,205.8,19.3,1
99.0,55,699.0,-86.0,80.0,88.7,-3.1,87.52,246.0,0.0,272.1,10.3,0
86.0,53,479.0,-166.0,75.0,121.7,-14.2,103.5,50.0,0.0,125.3,36.7,0
61.0,51,594.0,134.0,102.0,34.3,-40.5,124.52,80.0,0.0,91.2,15.7,1
675.0,55,731.0,-4.0,140.0,20.3,-1.1,134.3,251.0,0.0,373.4,14.7,0
799.0,55,2.0,-2.0,75.0,0.0,0.0,75.0,2.7,0.0,0.0,0.0,0
47.0,51,399.0,151.0,32.0,15.0,1.1,34.4,114.7,0.0,79.6,28.3,0
325.0,49,144.0,72.0,50.0,19.7,-0.4,53.69,28.7,0.0,40.5,6.0,0
109.0,55,2489.0,-1597.0,85.0,210.7,-50.2,135.15,842.0,443.0,831.4,146.7,1
30.0,51,1204.0,-784.0,85.0,35.7,-6.6,94.99,257.7,0.0,440.5,45.0,0
239.0,51,838.0,-111.0,85.0,58.3,2.7,83.64,208.0,0.0,88.7,54.0,0
305.0,48,1250.0,-538.0,75.0,6.7,2.7,104.45,288.7,0.0,399.0,47.3,1
804.0,51,1086.0,112.0,75.0,104.0,4.9,79.88,253.0,6.0,470.7,51.3,1
1583.0,53,1027.0,-159.0,50.0,77.0,-28.9,96.45,300.3,238.0,541.8,52.3,0
75.0,53,503.0,-126.0,63.0,49.0,-12.9,77.81,100.7,24.0,59.0,37.7,0
443.0,55,432.0,139.0,50.0,11.3,1.7,50.58,58.7,6.0,30.0,10.0,0
293.0,50,415.0,156.0,45.0,26.7,38.0,63.3,120.3,88.0,105.9,25.7,1
115.0,54,1333.0,-233.0,75.0,112.0,-46.0,121.0,389.7,229.0,403.6,51.0,0
348.0,54,1104.0,-431.0,60.0,40.7,-34.2,125.23,143.7,250.0,265.0,64.3,1
631.0,50,3148.0,997.0,75.0,149.0,14.3,316.47,471.7,1306.0,789.3,89.0,1
1638.0,54,12.0,6.0,20.0,3.3,3.4,20.12,0.7,0.0,3.0,0.0,0
547.0,52,772.0,-512.0,60.0,30.7,0.0,49.99,79.7,0.0,358.4,27.3,0
284.0,48,1130.0,90.0,75.0,67.3,10.0,83.5,268.7,30.0,430.4,18.0,0
1441.0,52,46.0,20.0,30.0,4.7,0.0,29.99,7.7,0.0,1.4,7.7,1
438.0,48,478.0,32.0,60.0,21.3,-0.4,53.69,171.3,0.0,87.2,17.7,0
25.0,48,1262.0,-65.0,75.0,263.7,-0.3,76.47,207.0,1.0,366.5,131.7,0
1636.0,54,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1
241.0,48,2746.0,-359.0,75.0,153.3,-47.3,161.88,683.0,532.0,1365.3,38.3,0
206.0,48,1622.0,-355.0,75.0,125.3,4.7,92.3,307.0,0.0,567.0,72.7,0
314.0,50,1684.0,39.0,75.0,123.7,-10.9,98.82,180.7,198.0,754.1,24.3,0
539.0,48,307.0,204.0,35.0,47.3,-0.3,35.3,10.7,0.0,0.0,24.3,0
54.0,50,1206.0,134.0,75.0,108.3,9.9,105.37,432.7,0.0,28.7,77.3,0
6.0,54,430.0,-30.0,50.0,23.0,-7.5,47.5,150.7,0.0,130.5,17.0,1
19.0,48,1611.0,-254.0,93.0,127.3,-11.7,105.73,570.0,47.0,613.7,94.0,0
53.0,50,409.0,18.0,50.0,24.7,-1.6,51.62,117.0,0.0,59.2,27.3,0
187.0,52,5863.0,106.0,202.0,417.7,-63.6,529.63,1355.7,1565.0,1666.6,157.0,0
446.0,48,1461.0,112.0,75.0,139.0,-1.6,76.84,232.3,0.0,378.3,50.0,0
369.0,52,1270.0,328.0,87.0,142.7,0.2,80.97,195.3,0.0,572.8,21.0,0
173.0,50,1239.0,635.0,85.0,238.3,69.7,99.42,341.7,52.0,498.1,74.0,0
198.0,48,1122.0,86.0,87.0,71.0,-8.3,104.98,206.7,0.0,243.9,30.3,0
1462.0,48,78.0,35.0,20.0,5.7,9.0,35.34,9.0,38.0,17.5,4.3,1
691.0,48,362.0,38.0,32.0,30.7,-1.2,32.02,91.0,2.0,80.2,18.7,0
160.0,52,457.0,-63.0,80.0,57.3,-14.1,74.09,84.3,32.0,67.5,14.3,0
246.0,52,1051.0,-341.0,50.0,62.7,-27.6,77.65,358.7,264.0,589.8,27.0,0
325.0,50,5.0,1.0,20.0,0.0,0.0,23.24,4.7,0.0,0.0,4.3,1
230.0,48,866.0,-4.0,75.0,166.7,0.7,77.23,99.0,0.0,218.0,31.0,1
664.0,48,767.0,-243.0,75.0,81.0,2.7,111.39,170.0,0.0,154.6,23.3,0
438.0,52,130.0,-17.0,75.0,10.0,0.0,78.25,55.7,0.0,55.0,6.3,0
257.0,50,439.0,-17.0,30.0,52.3,12.4,63.48,93.0,90.0,115.6,71.3,1
922.0,48,214.0,202.0,30.0,8.3,14.6,38.17,64.0,0.0,6.0,18.3,1
417.0,54,1149.0,-280.0,85.0,418.7,-0.2,79.19,362.3,0.0,341.0,115.7,0
192.0,48,1560.0,-363.0,75.0,66.3,-6.0,90.92,492.0,69.0,332.5,128.0,0
378.0,50,1134.0,-50.0,150.0,100.3,2.3,145.15,341.3,0.0,241.0,54.0,0
181.0,48,764.0,-16.0,70.0,76.3,-1.7,51.72,161.3,4.0,256.4,46.3,0
317.0,50,1066.0,-2.0,75.0,79.7,-12.6,87.62,239.7,50.0,341.3,24.0,0
123.0,48,1388.0,548.0,95.0,114.3,58.9,129.43,372.0,98.0,154.1,89.3,0
435.0,54,698.0,322.0,49.0,45.3,20.7,67.14,78.0,158.0,307.8,20.7,0
238.0,48,311.0,-66.0,70.0,37.3,-1.0,64.98,70.3,0.0,93.5,10.3,1
48.0,48,1112.0,-265.0,60.0,134.7,-29.0,99.04,165.7,247.0,506.5,51.0,0
431.0,54,6.0,-6.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1
32.0,48,378.0,14.0,60.0,76.3,6.4,68.31,61.3,0.0,77.6,24.3,0
89.0,50,173.0,-120.0,48.0,14.3,-8.9,49.2,52.7,0.0,39.4,7.7,0
632.0,52,585.0,77.0,81.0,33.7,-34.8,74.37,101.0,0.0,181.0,23.0,0
1517.0,50,16.0,24.0,20.0,1.7,0.0,20.0,1.3,0.0,0.2,0.0,0
631.0,52,1141.0,-28.0,75.0,175.7,-7.8,83.67,173.3,0.0,449.9,44.0,0
502.0,50,1028.0,84.0,85.0,71.7,-7.3,96.3,328.7,0.0,282.0,58.0,0
182.0,52,1592.0,210.0,75.0,150.0,-0.3,95.0,598.7,7.0,275.0,98.0,0
30.0,50,2311.0,-131.0,80.0,216.3,-25.8,112.06,827.3,96.0,359.4,299.7,0
456.0,48,414.0,188.0,75.0,45.7,16.1,86.3,136.3,0.0,118.9,26.0,1
555.0,54,889.0,-162.0,57.0,165.7,-10.7,65.9,205.7,33.0,217.7,85.3,0
841.0,52,162.0,-58.0,38.0,11.7,1.0,38.53,40.7,0.0,27.8,11.3,1
448.0,52,1130.0,-40.0,75.0,141.0,-4.9,79.88,249.0,0.0,620.7,27.3,0
228.0,52,256.0,100.0,50.0,14.3,0.0,50.98,66.0,0.0,38.8,14.3,1
861.0,54,202.0,-138.0,24.0,9.3,-0.2,51.9,86.7,37.0,103.6,24.3,0
569.0,48,2058.0,-98.0,75.0,46.0,-26.6,134.57,286.3,353.0,772.1,23.0,0
13.0,48,428.0,1038.0,35.0,28.0,119.5,77.26,89.7,112.0,23.7,10.0,0
686.0,52,651.0,-5.0,75.0,21.7,0.2,74.21,196.7,0.0,103.9,32.0,1
998.0,50,73.0,5.0,20.0,14.7,1.9,28.68,6.3,22.0,1.4,4.0,1
644.0,48,147.0,6.0,30.0,11.0,-6.9,38.93,16.3,8.0,45.7,7.0,0
311.0,54,3.0,0.0,21.0,1.3,27.6,20.88,3.3,0.0,0.7,0.0,0
582.0,50,1509.0,-148.0,75.0,111.7,-6.5,93.7,405.7,64.0,504.5,63.3,0
320.0,50,411.0,-79.0,75.0,14.7,-12.9,124.74,110.3,0.0,86.8,12.3,1
247.0,52,1852.0,12.0,75.0,108.0,-7.0,96.33,753.7,44.0,480.4,164.3,1
183.0,50,482.0,244.0,45.0,70.0,42.0,48.98,78.0,34.0,110.6,21.3,0
13.0,52,1363.0,-703.0,75.0,143.3,-97.2,187.35,365.0,306.0,262.3,85.0,0
575.0,48,45.0,-45.0,47.0,0.0,-13.9,48.89,6.3,0.0,0.2,1.0,1
511.0,52,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1
822.0,52,930.0,-208.0,105.0,107.7,0.0,98.24,336.7,0.0,359.5,46.3,0
68.0,48,2185.0,-405.0,81.0,251.0,-25.9,110.7,529.7,39.0,500.7,123.3,0
389.0,52,289.0,-3.0,45.0,17.3,-10.4,45.4,135.7,30.0,92.6,8.0,0
256.0,54,430.0,115.0,37.0,20.0,-7.6,37.56,26.0,0.0,14.6,11.3,0
239.0,48,1730.0,-29.0,75.0,46.7,-10.5,87.71,465.3,32.0,708.3,63.7,0
528.0,48,752.0,-263.0,60.0,38.7,-55.1,106.08,205.3,182.0,175.9,26.0,0
1447.0,48,0.0,0.0,25.0,0.0,-0.2,25.21,0.0,0.0,0.0,0.0,1
166.0,52,577.0,-99.0,85.0,65.0,-1.1,76.12,166.0,1.0,126.1,22.7,0
313.0,50,750.0,50.0,22.0,44.7,73.5,74.22,82.0,85.0,128.4,12.7,1
652.0,50,608.0,-76.0,50.0,72.7,-35.5,92.59,132.3,1.0,84.8,23.7,0
16.0,54,879.0,45.0,97.0,45.0,-3.2,83.58,255.3,5.0,295.1,71.3,0
698.0,50,692.0,-282.0,71.0,17.7,-49.8,74.95,203.3,0.0,97.2,59.7,1
556.0,54,1790.0,-54.0,160.0,114.7,4.1,167.1,422.7,0.0,186.4,33.7,0
304.0,48,188.0,10.0,30.0,36.3,-0.3,30.26,63.0,0.0,12.5,31.7,0
331.0,50,1514.0,274.0,80.0,119.7,-15.8,99.61,438.0,0.0,540.9,66.7,0
1088.0,50,44.0,-16.0,20.0,3.7,-5.0,25.04,19.7,12.0,3.4,4.7,1
198.0,48,938.0,-37.0,95.0,35.3,-0.7,75.67,249.7,0.0,245.2,20.3,0
1264.0,54,403.0,-56.0,50.0,29.0,3.0,55.98,152.7,0.0,221.6,16.7,1
588.0,52,3.0,-3.0,10.0,0.0,2.5,7.5,0.7,0.0,0.0,1.0,1
439.0,54,1764.0,131.0,110.0,0.0,33.0,191.66,0.0,215.0,0.0,0.0,1
494.0,48,114.0,-58.0,32.0,10.3,-4.9,37.35,23.7,13.0,7.1,12.0,0
172.0,47,479.0,-337.0,50.0,29.3,-13.3,64.8,81.0,139.0,107.3,23.7,1
1444.0,47,3.0,0.0,17.0,0.0,-0.2,17.14,1.3,0.0,0.0,0.0,1
195.0,52,2955.0,262.0,82.0,197.7,20.0,124.06,1116.0,421.0,1084.4,104.7,0
285.0,50,1245.0,-160.0,68.0,0.0,-62.1,80.28,0.0,73.0,0.0,0.0,0
686.0,47,820.0,2.0,85.0,38.0,-16.1,100.05,194.0,0.0,273.4,41.3,0
702.0,47,1058.0,-48.0,75.0,26.3,-20.9,99.58,214.3,0.0,324.1,39.3,0
767.0,47,134.0,-12.0,70.0,18.0,0.0,61.02,21.3,0.0,8.0,9.3,0
1.0,53,3280.0,286.0,80.0,434.3,0.7,147.46,868.0,546.0,1034.1,213.3,0
217.0,53,227.0,125.0,45.0,6.7,2.0,38.88,66.7,4.0,64.8,8.3,0
416.0,47,369.0,-7.0,50.0,42.7,-5.3,70.71,101.3,0.0,56.8,14.3,1
1442.0,47,409.0,-289.0,42.0,45.7,-1.3,43.83,117.0,16.0,95.9,15.3,1
90.0,51,817.0,-137.0,36.0,46.3,-34.6,74.52,163.0,98.0,156.2,72.0,0
1287.0,47,542.0,-242.0,35.0,39.7,-7.2,45.43,31.7,32.0,100.2,12.7,1
140.0,53,2845.0,-450.0,75.0,269.7,-14.9,203.97,480.7,1083.0,616.9,93.7,0
410.0,53,631.0,-4.0,95.0,63.0,0.0,88.24,177.3,0.0,143.4,6.0,0
663.0,53,1526.0,92.0,76.0,41.0,4.3,103.21,479.7,0.0,331.3,106.3,0
463.0,47,674.0,169.0,55.0,95.3,10.3,61.62,135.3,30.0,126.6,41.0,1
538.0,49,410.0,85.0,50.0,6.7,9.7,58.12,108.7,0.0,88.6,15.0,0
876.0,53,196.0,-68.0,7.0,14.7,141.9,87.07,121.7,42.0,33.7,17.3,1
1145.0,49,51.0,19.0,30.0,6.7,0.7,30.32,9.7,0.0,10.7,1.7,0
533.0,51,655.0,-158.0,85.0,62.7,-9.0,77.5,236.0,37.0,166.4,90.0,1
195.0,47,509.0,33.0,60.0,34.3,-0.5,51.45,82.0,0.0,26.0,45.7,0
341.0,49,1804.0,205.0,75.0,66.0,13.0,93.58,493.0,26.0,600.8,47.7,0
231.0,47,381.0,108.0,50.0,20.3,-10.3,63.3,85.7,0.0,109.0,7.0,1
86.0,51,781.0,-137.0,80.0,66.3,0.5,84.88,230.0,0.0,175.7,80.0,0
135.0,47,493.0,220.0,50.0,98.3,3.1,72.65,110.0,7.0,144.8,28.0,1
615.0,51,64.0,-58.0,52.0,10.0,-22.2,42.2,16.3,0.0,19.7,10.7,1
15.0,51,835.0,-93.0,50.0,66.3,-39.5,40.52,329.3,28.0,438.9,103.7,0
98.0,53,1410.0,60.0,81.0,78.3,-36.5,117.6,443.3,0.0,219.3,93.3,0
382.0,49,2935.0,-774.0,200.0,112.0,-19.0,332.74,746.0,470.0,762.5,70.7,0
524.0,47,604.0,-24.0,50.0,96.7,-1.1,56.38,162.0,20.0,150.2,22.3,0
250.0,53,454.0,-96.0,85.0,22.7,0.0,88.24,109.7,0.0,92.0,15.3,0
3.0,49,306.0,-25.0,50.0,32.0,0.0,50.0,91.0,0.0,64.7,18.0,0
574.0,47,805.0,97.0,75.0,35.3,-0.9,75.92,163.7,0.0,274.3,22.3,0
268.0,51,1032.0,250.0,75.0,100.3,-11.5,93.2,269.7,0.0,340.8,38.3,0
555.0,49,832.0,-832.0,75.0,88.3,-4.4,79.42,260.7,0.0,243.6,89.3,0
212.0,49,928.0,193.0,100.0,58.0,19.7,129.78,326.7,0.0,163.2,56.7,1
556.0,53,308.0,-166.0,30.0,52.7,1.2,34.31,65.0,0.0,177.3,13.3,0
293.0,49,1269.0,-104.0,75.0,43.7,-3.2,84.36,327.0,0.0,586.4,34.3,0
428.0,53,1314.0,-208.0,75.0,27.3,-24.2,108.67,426.7,0.0,324.4,32.0,0
96.0,47,1859.0,-111.0,75.0,30.0,-23.6,113.37,657.3,120.0,486.3,51.7,0
110.0,49,2982.0,-414.0,80.0,390.7,-38.0,131.12,617.7,215.0,1147.0,95.0,0
501.0,49,49.0,89.0,60.0,8.3,-0.9,48.39,12.7,13.0,0.1,4.7,1
861.0,53,785.0,55.0,58.0,103.3,2.9,58.98,218.3,10.0,276.1,28.0,0
66.0,53,1128.0,-5.0,60.0,83.3,15.3,142.77,193.7,250.0,234.6,53.3,0
556.0,47,204.0,-23.0,30.0,32.3,-0.3,30.27,45.0,0.0,11.3,5.7,0
872.0,51,712.0,-382.0,60.0,99.7,-20.0,71.01,93.3,69.0,210.8,59.3,0
647.0,49,1273.0,41.0,75.0,147.7,-1.3,78.22,419.3,0.0,442.6,47.3,0
737.0,47,384.0,42.0,50.0,41.3,6.8,57.01,94.7,0.0,88.3,24.0,0
